Drug MW (Dalton),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,73.12,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,74.52,,,
575.85,4.3,30.0,50.0,phospholipon® 90G,24.0,30.0,40,150,0,58.54,,,
575.85,4.3,22.5,70.0,phospholipon® 90G,24.0,30.0,40,150,0,66.43,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,30.0,40,150,0,59.32,,,
575.85,4.3,30.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,61.87,,,
575.85,4.3,22.5,70.0,phospholipon® 90G,24.0,20.0,40,150,0,76.65,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,10.0,40,150,0,80.33,,,
575.85,4.3,22.5,70.0,phospholipon® 90G,24.0,20.0,40,150,0,94.23,,,
575.85,4.3,30.0,30.0,phospholipon® 90G,24.0,20.0,40,150,0,68.21,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,83.24,,,
575.85,4.3,22.5,30.0,phospholipon® 90G,24.0,10.0,40,150,0,64.23,,,
575.85,4.3,30.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,70.45,,,
575.85,4.3,15.0,50.0,phospholipon® 90G,24.0,30.0,40,150,0,64.87,,,
575.85,4.3,22.5,30.0,phospholipon® 90G,24.0,20.0,40,150,0,71.54,,,
575.85,4.3,15.0,30.0,phospholipon® 90G,24.0,20.0,40,150,0,62.43,,,
575.85,4.3,15.0,70.0,phospholipon® 90G,24.0,20.0,40,150,0,94.81,,,
424.5,4.3,15.0,50.0,phospholipon® 90G,24.0,10.0,40,150,0,75.23,,,
424.5,4.3,22.5,70.0,phospholipon® 90G,24.0,10.0,40,150,0,94.76,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,30.0,40,150,0,65.32,,,
