Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
368.38 ,2.75,,30,100,Phospholipid 90G,,2,67,150,0,82.829,664.333,-11.243,,,,,,,,,,,
368.38 ,2.75,,7.5,50,Phospholipid 90G,,2,67,150,0,95.981,854.967,-5.5,,,,,,,,,,,
368.38 ,2.75,,7.5,100,Phospholipid 90G,,2,67,150,0,90.501,1573,-2.387,,,,,,,,,,,
368.38 ,2.75,4.7,30,50,Phospholipid 90G,,2,67,150,0,93.448,620.2,-3.18,,,,,,,,,,,
368.38 ,2.75,15,30,25,Phospholipid 90G,,2,67,150,0,93.863,1027.1,-3.86,,,,,,,,,,,
368.38 ,2.75,4.7,30,50,Phospholipid 90G,,2,67,150,0,96.073,618,-3.26,,,,,,,,,,,
368.38 ,2.75,15,7.5,25,Phospholipid 90G,,2,67,150,0,94.184,590,-5.84,,,,,,,,,,,
368.38 ,2.75,4.7,15,100,Phospholipid 90G,,2,67,150,0,80.145,668.4,-4.6,,,,,,,,,,,
368.38 ,2.75,4.7,7.5,25,Phospholipid 90G,,2,67,150,0,79.546,452.233,-4.286,,,,,,,,,,,
368.38 ,2.75,4.7,15,100,Phospholipid 90G,,2,67,150,0,80.139,646.7,-4.88,,,,,,,,,,,
368.38 ,2.75,4.7,7.5,50,Phospholipid 90G,,2,67,150,0,80.342,764.366,-7.366,,,,,,,,,,,
368.38 ,2.75,4.7,15,25,Phospholipid 90G,,2,67,150,0,84.52,256.4,-1.283,,,,,,,,,,,
368.38 ,2.75,15,15,50,Phospholipid 90G,,2,67,150,0,94.494,872.033,-3.086,,,,,,,,,,,
368.38 ,2.75,15,15,50,Phospholipid 90G,,2,67,150,0,94.843,855.8,-3.16,,,,,,,,,,,
368.38 ,2.75,4.7,15,25,Phospholipid 90G,,2,67,150,0,84.42,276.6,-1.25,,,,,,,,,,,
368.38 ,2.75,4.7,7.5,100,Phospholipid 90G,,2,67,150,0,80.244,602.733,-4.5,,,,,,,,,,,
368.38 ,2.75,15,7.5,25,Phospholipid 90G,,2,67,150,0,6.166,2138,-6.08,,,,,,,,,,,
368.38 ,2.75,15,30,25,Phospholipid 90G,,2,67,150,0,97.684,1582.333,-3.07,,,,,,,,,,,
368.38 ,2.75,15,30,100,Phospholipid 90G,,2,67,150,0,34.541,695.366,-3.056,,,,,,,,,,,
368.38 ,2.75,15,7.5,100,Phospholipid 90G,,2,67,150,0,97.694,1333,-2.133,,,,,,,,,,,
368.38 ,2.75,15,30,50,Phospholipid 90G,,2,67,150,0,92.593,579.033,-6.44,,,,,,,,,,,
368.38 ,2.75,15,15,50,Phospholipid 90G,,2,67,150,0,94.744,856.5,-3.44,,,,,,,,,,,
387.7,5.3,16.7,15,100,Phospholipid 90H,24,15,67,60,1,72.55,130.42,-19.46,,,,,,,,,,,
387.7,5.3,16.7,45,100,Phospholipid 90H,24,15,67,60,1,44.47,331.43,-26.14,,,,,,,,,,,
387.7,5.3,16.7,30,50,Phospholipid 90H,24,15,67,60,1,88.12,223.35,-18.84,,,,,,,,,,,
387.7,5.3,16.7,45,50,Phospholipid 90H,24,15,67,60,1,93.89,171.41,-20.73,,,,,,,,,,,
387.7,5.3,16.7,30,100,Phospholipid 90H,24,15,67,60,1,44.86,263.85,-14.02,,,,,,,,,,,
